In : 117 , Out : 46 , Current : 120
In : 119 , Out : 46 , Current : 120
In : 189 , Out : 278 , Current : 269
In : 189 , Out : 282 , Current : 278
In : 151 , Out : 248 , Current : 247
In : 199 , Out : 151 , Current : 247
In : 199 , Out : 151 , Current : 247
In : 199 , Out : 248 , Current : 247
In : 252 , Out : 199 , Current : 251
In : 248 , Out : 252 , Current : 251
In : 248 , Out : 199 , Current : 251
In : 248 , Out : 252 , Current : 251
In : 78 , Out : 76 , Current : 214
In : 219 , Out : 76 , Current : 214
In : 167 , Out : 185 , Current : 176
In : 167 , Out : 185 , Current : 176
In : 185 , Out : 165 , Current : 176
In : 308 , Out : 245 , Current : 332
In : 308 , Out : 245 , Current : 332
In : 245 , Out : 121 , Current : 332
In : 76 , Out : 77 , Current : 78
In : 76 , Out : 77 , Current : 78
In : 77 , Out : 76 , Current : 78
In : 7 , Out : 48 , Current : 235
In : 7 , Out : 48 , Current : 235
In : 48 , Out : 7 , Current : 235
In : 48 , Out : 7 , Current : 235
In : 320 , Out : 329 , Current : 334
In : 320 , Out : 329 , Current : 334
In : 329 , Out : 320 , Current : 334
In : 329 , Out : 320 , Current : 334
In : 49 , Out : 136 , Current : 50
In : 49 , Out : 136 , Current : 50
In : 136 , Out : 49 , Current : 50
In : 136 , Out : 49 , Current : 50
In : 24 , Out : 25 , Current : 23
In : 24 , Out : 25 , Current : 23
In : 25 , Out : 24 , Current : 23
In : 25 , Out : 24 , Current : 23
In : 25 , Out : 24 , Current : 23
In : 25 , Out : 24 , Current : 23
In : 280 , Out : 137 , Current : 310
In : 280 , Out : 137 , Current : 310
In : 137 , Out : 280 , Current : 310
In : 137 , Out : 280 , Current : 310
In : 150 , Out : 85 , Current : 152
In : 150 , Out : 85 , Current : 152
In : 85 , Out : 150 , Current : 152
In : 85 , Out : 150 , Current : 152
In : 10 , Out : 18 , Current : 17
In : 10 , Out : 18 , Current : 17
In : 18 , Out : 10 , Current : 17
In : 18 , Out : 10 , Current : 17
In : 280 , Out : 276 , Current : 279
In : 280 , Out : 276 , Current : 279
In : 276 , Out : 280 , Current : 279
In : 276 , Out : 280 , Current : 279
In : 272 , Out : 271 , Current : 274
In : 272 , Out : 271 , Current : 274
In : 271 , Out : 272 , Current : 274
In : 271 , Out : 272 , Current : 274
In : 28 , Out : 121 , Current : 30
In : 28 , Out : 116 , Current : 30
In : 28 , Out : 116 , Current : 30
In : 116 , Out : 28 , Current : 30
In : 116 , Out : 28 , Current : 30
In : 28 , Out : 122 , Current : 29
In : 28 , Out : 122 , Current : 29
In : 122 , Out : 28 , Current : 29
In : 122 , Out : 28 , Current : 29
In : 21 , Out : 28 , Current : 29
In : 21 , Out : 122 , Current : 29
In : 21 , Out : 122 , Current : 29
In : 21 , Out : 28 , Current : 29
In : 117 , Out : 338 , Current : 118
In : 117 , Out : 338 , Current : 118
In : 338 , Out : 117 , Current : 118
In : 338 , Out : 117 , Current : 118
In : 56 , Out : 194 , Current : 57
In : 56 , Out : 103 , Current : 57
In : 56 , Out : 194 , Current : 57
In : 194 , Out : 56 , Current : 57
In : 194 , Out : 56 , Current : 57
In : 194 , Out : 103 , Current : 57
In : 338 , Out : 340 , Current : 339
In : 338 , Out : 340 , Current : 339
In : 338 , Out : 340 , Current : 339
In : 340 , Out : 338 , Current : 339
In : 340 , Out : 338 , Current : 339
In : 169 , Out : 237 , Current : 213
In : 169 , Out : 237 , Current : 213
In : 237 , Out : 169 , Current : 213
In : 237 , Out : 212 , Current : 213
In : 237 , Out : 169 , Current : 213
In : 168 , Out : 171 , Current : 170
In : 168 , Out : 171 , Current : 170
In : 171 , Out : 168 , Current : 170
In : 171 , Out : 168 , Current : 170
In : 255 , Out : 168 , Current : 170
In : 255 , Out : 168 , Current : 170
In : 116 , Out : 234 , Current : 307
In : 116 , Out : 234 , Current : 307
In : 234 , Out : 116 , Current : 307
In : 234 , Out : 111 , Current : 307
In : 234 , Out : 116 , Current : 307
