Problem no : 1
Source:  (90.393877, 23.73319)
Source:  (90.383342, 23.737137)
Time : 22 : 30. Cost: 0৳ .  Walk from Source (90.393877, 23.73319) to  (90.393875, 23.733178)
Time : 22 : 30. Cost: 0.9073506169531065৳ . Ride Car from  (90.393637, 23.733188000000002) to (90.393229, 23.733176999999998)
Time : 22 : 30. Cost: 0.5315117809153032৳ . Ride Car from  (90.393229, 23.733176999999998) to (90.39299, 23.733189000000003)
Time : 22 : 30. Cost: 0.342480721753859৳ . Ride Car from  (90.39299, 23.733189000000003) to (90.392836, 23.733221)
Time : 22 : 30. Cost: 0.33136119702455846৳ . Ride Car from  (90.392836, 23.733221) to (90.392687, 23.733251)
Time : 22 : 30. Cost: 0.6449308624785035৳ . Ride Car from  (90.392687, 23.733251) to (90.392397, 23.733291)
Time : 22 : 30. Cost: 0.6204678371079411৳ . Ride Car from  (90.392397, 23.733291) to (90.39211800000001, 23.733319)
Time : 22 : 30. Cost: 0.47813818556534515৳ . Ride Car from  (90.39211800000001, 23.733319) to (90.391903, 23.733321)
Time : 22 : 30. Cost: 0.5092728221640562৳ . Ride Car from  (90.391903, 23.733321) to (90.391674, 23.733304999999998)
Time : 22 : 30. Cost: 0.38695856233016734৳ . Ride Car from  (90.391674, 23.733304999999998) to (90.3915, 23.733278)
Time : 22 : 31. Cost: 0.5026013496661054৳ . Ride Car from  (90.3915, 23.733278) to (90.391274, 23.733242999999998)
Time : 22 : 31. Cost: 0.8851121163943223৳ . Ride Car from  (90.391274, 23.733242999999998) to (90.390876, 23.733181)
Time : 22 : 31. Cost: 1.3432354537799138৳ . Ride Car from  (90.390876, 23.733181) to (90.390272, 23.733088000000002)
Time : 22 : 31. Cost: 0.8006038297773121৳ . Ride Car from  (90.390272, 23.733088000000002) to (90.389912, 23.733038)
Time : 22 : 31. Cost: 0.6182440882949063৳ . Ride Car from  (90.389912, 23.733038) to (90.389634, 23.732998000000002)
Time : 22 : 31. Cost: 0.9117988199553613৳ . Ride Car from  (90.389634, 23.732998000000002) to (90.389224, 23.73294)
Time : 22 : 31. Cost: 0.8006038422396926৳ . Ride Car from  (90.389224, 23.73294) to (90.388864, 23.732889)
Time : 22 : 31. Cost: 1.218696949384591৳ . Ride Car from  (90.388864, 23.732889) to (90.388316, 23.732812)
Time : 22 : 31. Cost: 2.6442165642718725৳ . Ride Car from  (90.388316, 23.732812) to (90.387127, 23.732644)
Time : 22 : 32. Cost: 4.418887505700034৳ . Ride Car from  (90.387127, 23.732644) to (90.38514, 23.732434)
Time : 22 : 32. Cost: 0.2936242984677954৳ . Ride Car from  (90.38514, 23.732434) to (90.385008, 23.732862)
Time : 22 : 32. Cost: 0.7407508846772564৳ . Ride Car from  (90.385008, 23.732862) to (90.384675, 23.733992999999998)
Time : 22 : 32. Cost: 0.30697716815523646৳ . Ride Car from  (90.384675, 23.733992999999998) to (90.384537, 23.734460000000002)
Time : 22 : 32. Cost: 0.43599704493638064৳ . Ride Car from  (90.384537, 23.734460000000002) to (90.384341, 23.735125)
Time : 22 : 32. Cost: 0.12014123759111552৳ . Ride Car from  (90.384341, 23.735125) to (90.384287, 23.735359)
Time : 22 : 32. Cost: 0.14016389582461433৳ . Ride Car from  (90.384287, 23.735359) to (90.384224, 23.73563)
Time : 22 : 32. Cost: 0.3159262696650388৳ . Ride Car from  (90.384224, 23.73563) to (90.38408199999999, 23.736244)
Time : 22 : 32. Cost: 0.2291584325250223৳ . Ride Car from  (90.38408199999999, 23.736244) to (90.38397900000001, 23.736691)
Time : 22 : 32. Cost: 0.4939113369063385৳ . Ride Car from  (90.38397900000001, 23.736691) to (90.38375699999999, 23.737648)
Time : 22 : 32. Cost: 0.020024861077680298৳ . Ride Car from  (90.38375699999999, 23.737648) to (90.383748, 23.73769)
Time : 22 : 32. Cost: 0.1001210959906775৳ . Ride Car from  (90.383748, 23.73769) to (90.383703, 23.737893)
Time : 22 : 32. Cost: 0.17577158414801228৳ . Ride Car from  (90.383703, 23.737893) to (90.383624, 23.738257)
Time : 22 : 32. Cost: 0.27366790483919246৳ . Ride Car from  (90.383624, 23.738257) to (90.383501, 23.73882)
Time : 22 : 32. Cost: 0.07564819484133586৳ . Ride Car from  (90.383501, 23.73882) to (90.38346700000001, 23.738976)
Time : 22 : 32. Cost: 0৳ .  Walk from (90.38333399999999, 23.739582000000002) to Destination  (90.383342, 23.737137)
